county_code,county_name,date,gender,wage,hours,employment_rate,population,urban
1,County_1,2024-01-01,Male,24.77,37.3,0.8656412412333745,648982,1
1,County_1,2024-01-01,Female,26.22,45.6,0.8662097632889302,318834,1
1,County_1,2024-01-02,Male,37.53,40.7,0.8193642064405174,1174165,1
1,County_1,2024-01-02,Female,24.71,41.9,0.8744527766356519,451451,1
1,County_1,2024-01-03,Male,29.9,47.6,0.9921706879160267,1157238,1
1,County_1,2024-01-03,Female,25.19,44.4,0.8783029200494974,1280793,1
1,County_1,2024-01-04,Male,29.16,36.7,0.8841076546744708,1243233,1
1,County_1,2024-01-04,Female,24.69,39.1,1.0,865022,1
1,County_1,2024-01-05,Male,37.05,38.3,0.8703558633769823,344356,1
1,County_1,2024-01-05,Female,23.37,40.8,0.9299948316855503,684963,1
1,County_1,2024-01-06,Male,25.94,44.5,0.8284929311019684,850419,1
1,County_1,2024-01-06,Female,31.03,42.7,0.9005116530509794,209540,1
1,County_1,2024-01-07,Male,37.65,39.4,0.9463116271442518,921747,1
1,County_1,2024-01-07,Female,19.77,35.5,1.0,1087474,1
1,County_1,2024-01-08,Male,34.2,40.0,0.9530319289410706,807274,1
1,County_1,2024-01-08,Female,26.86,37.2,0.8753499532670583,838873,1
1,County_1,2024-01-09,Male,26.64,37.9,0.8141787777028014,282745,1
1,County_1,2024-01-09,Female,34.36,39.4,0.9290657067017862,1309268,1
1,County_1,2024-01-10,Male,30.94,44.7,0.8062765562570244,1234978,1
1,County_1,2024-01-10,Female,26.83,43.1,0.8704214305582085,600573,1
1,County_1,2024-01-11,Male,22.75,42.6,0.9428932329394233,614568,1
1,County_1,2024-01-11,Female,25.35,28.2,0.8961733969324227,1367756,1
1,County_1,2024-01-12,Male,30.21,36.9,0.8693452658545812,251934,1
1,County_1,2024-01-12,Female,28.37,34.7,1.0,1239458,1
1,County_1,2024-01-13,Male,39.6,36.6,0.9124657270810977,1338356,1
1,County_1,2024-01-13,Female,23.18,29.6,0.988521575828336,238102,1
1,County_1,2024-01-14,Male,39.57,38.4,0.904136521790024,637477,1
1,County_1,2024-01-14,Female,26.91,36.1,0.9116024968678819,1276871,1
1,County_1,2024-01-15,Male,19.64,35.1,0.8893276424144076,1451772,1
1,County_1,2024-01-15,Female,32.33,34.8,0.8414011572774778,1334764,1
1,County_1,2024-01-16,Male,29.03,39.3,0.8586384528223838,1066651,1
1,County_1,2024-01-16,Female,26.96,40.8,0.8799389764057082,1491380,1
1,County_1,2024-01-17,Male,32.01,39.9,0.9027175288969286,838353,1
1,County_1,2024-01-17,Female,23.22,34.4,0.9762914978625415,1421078,1
1,County_1,2024-01-18,Male,39.03,34.6,0.870030367727799,564167,1
1,County_1,2024-01-18,Female,28.24,30.3,0.9181238229402652,1242892,1
1,County_1,2024-01-19,Male,26.19,32.7,0.9915729382927178,678007,1
1,County_1,2024-01-19,Female,29.48,36.8,0.8415091483914495,1310389,1
1,County_1,2024-01-20,Male,28.98,39.4,0.8956793246584194,1204208,1
1,County_1,2024-01-20,Female,28.6,31.6,0.8700312488523114,1158447,1
1,County_1,2024-01-21,Male,29.82,44.6,0.9112617676402802,542786,1
1,County_1,2024-01-21,Female,34.9,36.7,0.8200438263731259,1287341,1
1,County_1,2024-01-22,Male,23.58,39.3,0.8871048917728228,900903,1
1,County_1,2024-01-22,Female,21.58,39.3,0.8625756731721723,1437665,1
1,County_1,2024-01-23,Male,35.89,41.7,0.8715336934725612,1060395,1
1,County_1,2024-01-23,Female,32.16,33.9,0.8865452781035525,739542,1
1,County_1,2024-01-24,Male,35.66,34.1,0.934302572999922,805605,1
1,County_1,2024-01-24,Female,27.81,44.4,0.963699669529441,750222,1
1,County_1,2024-01-25,Male,33.85,38.8,0.7914567085934795,450875,1
1,County_1,2024-01-25,Female,24.03,41.9,0.9322866394361624,1465040,1
1,County_1,2024-01-26,Male,21.07,39.5,0.8983652625952954,1254145,1
1,County_1,2024-01-26,Female,29.43,37.5,0.8962348172622439,879574,1
1,County_1,2024-01-27,Male,29.65,35.9,0.8470393239055525,1463455,1
1,County_1,2024-01-27,Female,36.33,36.2,0.8762164326015699,257108,1
1,County_1,2024-01-28,Male,25.46,37.6,0.8482378838790313,1398425,1
1,County_1,2024-01-28,Female,18.28,37.8,0.8549942170963043,1422869,1
1,County_1,2024-01-29,Male,32.71,35.1,0.9289752200774928,1117559,1
1,County_1,2024-01-29,Female,37.95,35.5,0.7903934971879011,466765,1
1,County_1,2024-01-30,Male,34.97,36.6,0.9450931718508944,1021106,1
1,County_1,2024-01-30,Female,20.83,37.3,0.8976104561313232,1496312,1
1,County_1,2024-01-31,Male,22.31,36.6,0.7944650239424911,731849,1
1,County_1,2024-01-31,Female,29.62,38.3,0.8569357899335869,737198,1
1,County_1,2024-02-01,Male,30.66,36.4,0.8665799015848367,1442629,1
1,County_1,2024-02-01,Female,29.51,38.0,0.8181002982143306,1361157,1
1,County_1,2024-02-02,Male,23.83,35.4,0.8756437308117653,387210,1
1,County_1,2024-02-02,Female,29.38,38.0,0.9225705599323749,1230117,1
1,County_1,2024-02-03,Male,32.75,46.2,0.9809806077718656,1032946,1
1,County_1,2024-02-03,Female,25.53,40.6,0.8592607936004851,435659,1
1,County_1,2024-02-04,Male,29.19,40.6,0.816923996886552,482762,1
1,County_1,2024-02-04,Female,26.66,31.1,0.9620856979826172,914743,1
1,County_1,2024-02-05,Male,28.21,42.4,0.9385819074650669,293070,1
1,County_1,2024-02-05,Female,12.74,40.3,0.8898477306978504,427645,1
